,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,映えない (feat. 初音ミク),映えない,Utsu-P,2021-06-25,215066,36,2,1,0.515,0.000654,0.814,0.0702,0.0778,-4.765,0.0644,125.034,3,0.54
1,デスロウ (feat. 初音ミク),デスロウ,Utsu-P,2021-06-25,264428,33,2,1,0.596,0.0094,0.839,0.00123,0.431,-5.612,0.0586,139.97,4,0.583
2,ぬる (feat. 初音ミク),ぬる,Utsu-P,2021-06-25,206000,33,8,1,0.524,0.00091,0.907,0.0203,0.298,-6.342,0.0839,120.056,4,0.396
3,OGRE (feat. 初音ミク),OGRE,Utsu-P,2021-06-25,220773,40,8,1,0.415,0.000209,0.919,0.00682,0.328,-5.161,0.12,159.904,4,0.455
4,ダブルラリアット [Double Bass Drum Remix 2021],ダブルラリアット [Double Bass Drum Remix 2021],Utsu-P,2021-01-29,213613,35,3,0,0.492,0.000236,0.945,3.43e-06,0.472,-4.899,0.0742,137.985,4,0.364
5,CR独特な世界観,俗 e.p. & 毒 e.p.,Utsu-P,2012,232853,15,6,1,0.414,0.000244,0.961,0.0557,0.0826,-3.929,0.139,169.948,4,0.523
6,あかいぼく,俗 e.p. & 毒 e.p.,Utsu-P,2012,128693,14,3,0,0.224,8.06e-06,0.942,0.656,0.113,-3.675,0.0831,199.83,4,0.361
7,邪念くんのテーマ,俗 e.p. & 毒 e.p.,Utsu-P,2012,224880,15,5,0,0.559,9.9e-05,0.965,0.854,0.291,-3.881,0.0733,112.434,1,0.75
8,自爆2号,俗 e.p. & 毒 e.p.,Utsu-P,2012,128533,14,2,1,0.443,8.92e-05,0.953,0.331,0.311,-3.869,0.295,199.899,4,0.604
9,ぬいぐるみになりたい,俗 e.p. & 毒 e.p.,Utsu-P,2012,272933,14,10,0,0.462,0.0005,0.945,0.000205,0.0728,-3.212,0.072,170.006,4,0.69
10,惑星無修正,俗 e.p. & 毒 e.p.,Utsu-P,2012,210428,13,11,0,0.331,1.93e-05,0.939,0.17,0.0922,-2.854,0.0716,164.874,4,0.482
11,ダイベン,P,Utsu-P,2011-04-15,213316,24,9,1,0.504,0.000467,0.945,0.21,0.163,-3.455,0.101,90.011,4,0.482
12,華,P,Utsu-P,2011-04-15,344756,19,4,1,0.258,0.00251,0.98,0.0142,0.363,-2.595,0.223,117.871,4,0.0948
13,恐怖!スピーカー人間,P,Utsu-P,2011-04-15,140900,18,4,1,0.491,0.00193,0.984,0.0678,0.33,-3.268,0.181,149.977,4,0.204
14,ドール,DOLL e.p.,Utsu-P,2008,274030,17,10,0,0.262,0.000167,0.965,0.306,0.184,-3.969,0.543,189.978,4,0.223
15,dope disco,DOLL e.p.,Utsu-P,2008,322699,21,10,0,0.513,0.000338,0.965,0.000554,0.157,-3.468,0.0351,89.991,4,0.744
16,クビククリ・モンスター,DOLL e.p.,Utsu-P,2008,238062,14,4,1,0.549,3.84e-05,0.967,0.0184,0.389,-3.349,0.101,132.08,4,0.656
17,華,DOLL e.p.,Utsu-P,2008,345836,15,4,1,0.16,2.17e-05,0.969,0.264,0.403,-3.705,0.246,195.093,3,0.346
