,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Sight (feat. 巡音ルカ),Residue,otetsu,2021-05-25,211636,8,9,0,0.577,0.0427,0.985,0.0,0.315,-2.835,0.069,109.939,4,0.208
1,甘苦い中毒 (feat. メグッポイド),「宝箱」,otetsu,2019-10-30,244500,1,0,1,0.586,0.000749,0.944,0.0,0.273,-2.835,0.0389,119.979,3,0.755
2,蔓延る毒 (feat. 巡音ルカ),Flag,otetsu,2019-05-15,310000,2,1,1,0.585,0.00456,0.956,1.47e-06,0.366,-4.079,0.0817,119.997,4,0.381
3,Stomach (feat. 巡音ルカ),胃袋,otetsu,2018-11-28,248000,3,4,0,0.681,0.0831,0.887,0.0,0.156,-4.894,0.0483,100.018,3,0.496
4,罪喰らい (feat. 巡音ルカ),Unbalance,otetsu,2018-05-02,301000,0,1,0,0.565,0.000231,0.938,5.9e-06,0.061,-3.934,0.116,120.043,4,0.317
5,memento (feat. 巡音ルカ),memento mori,otetsu,2017-11-22,240437,5,11,0,0.57,0.0027,0.892,3.25e-06,0.152,-2.808,0.0338,124.996,3,0.494
6,産声 (feat. 巡音ルカ),濫觴,otetsu,2015-05-08,188500,0,9,0,0.564,0.00727,0.909,0.0,0.0886,-3.439,0.0632,115.007,4,0.429
7,ナイトアンドデイ (feat. 巡音ルカ),sleep,otetsu,2013-11-20,205763,0,2,0,0.538,0.0255,0.958,3.26e-05,0.0681,-1.654,0.121,104.943,4,0.57
8,種 (feat. 巡音ルカ),Seed,otetsu,2013-04-30,113314,0,11,0,0.651,0.00772,0.791,0.372,0.191,-4.921,0.0441,112.474,4,0.418
9,core (feat. 巡音ルカ),UNDER,otetsu,2012-05-01,242364,0,4,0,0.567,0.0158,0.965,0.0,0.421,-2.304,0.0858,120.027,3,0.482
10,hole (feat. 巡音ルカ),Muse,otetsu,2012-02-27,248583,4,4,0,0.469,0.00631,0.992,0.0,0.194,-1.561,0.0937,146.992,4,0.212
11,才溢れ、欠落者 (feat. 巡音ルカ),NUDE,otetsu,2011-09-05,277209,2,4,0,0.458,0.0419,0.958,0.0,0.373,-1.306,0.0656,135.002,3,0.521
12,カーニバル (feat. メグッポイド),Carnival,otetsu,2011-06-13,217740,21,11,0,0.53,0.0331,0.918,6.72e-06,0.0764,-2.172,0.0507,127.045,4,0.915
13,Implosion (feat. メグッポイド),LENS,otetsu,2011-01-17,164000,1,1,0,0.508,0.00706,0.939,6.97e-06,0.112,-3.152,0.0442,109.965,4,0.599
14,飴と鎖 (feat. 巡音ルカ),CORE-KrnT edit-,otetsu,2010-05-10,217749,19,9,0,0.544,0.16,0.985,0.0,0.0984,-2.334,0.0771,135.015,4,0.678
15,shell (feat. 巡音ルカ),SHELL,otetsu,2010-05-10,257954,0,9,0,0.191,0.00957,0.973,0.0,0.324,-2.544,0.158,181.677,5,0.307
16,星屑ユートピア (feat. 巡音ルカ),STARLET,otetsu,2009-09-09,262006,3,6,0,0.509,0.058,0.918,0.0,0.275,-2.437,0.046,119.98,4,0.834
17,Existence (feat. 初音ミク),Utopia,otetsu,2009-05-01,169401,1,4,0,0.51,0.0306,0.938,0.0,0.297,-2.257,0.0348,96.487,4,0.887
18,幻想と羅針盤 (feat. 巡音ルカ),幻想と羅針盤,otetsu,2020-01-30,228000,4,9,1,0.514,0.451,0.837,0.0,0.129,-3.401,0.0503,189.943,4,0.418
19,ご覧、蒔いた種が花を咲かせた。期待通りの汚い花。 (feat. メグッポイド),ご覧、蒔いた種が花を咲かせた。期待通りの汚い花。,otetsu,2019-12-11,208000,6,8,0,0.482,0.00184,0.963,0.0,0.162,-3.233,0.0571,150.012,4,0.789
