,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,DAISAN GENERATION - instrumental,DAISAN WAVE,Mikito P,2018-11-18,100800,10,4,0,0.258,0.000305,0.993,0.841,0.417,-5.375,0.379,149.662,4,0.116
1,きゅりあす,MIKIROKU【通常盤】,Mikito P,2015-11-18,263653,3,2,0,0.548,0.0298,0.922,0.0,0.287,-3.459,0.0421,131.983,4,0.66
2,Curious,Mikiroku (Standard Edition),Mikito P,2015-09-02,263653,5,2,0,0.548,0.0298,0.922,0.0,0.287,-3.459,0.0421,131.983,4,0.66
3,Matoi,Good School Girl (Standard Edition),Mikito P,2015-08-01,320914,10,7,1,0.33,0.0434,0.938,0.0,0.3,-2.812,0.0519,174.953,4,0.35
4,まとい,GOOD SCHOOL GIRL 通常盤,Mikito P,2014-11-05,320914,8,7,1,0.33,0.0434,0.938,0.0,0.3,-2.812,0.0519,174.953,4,0.35
5,僕は初音ミクとキスをした feat.初音ミク,僕は初音ミクとキスをした,Mikito P,2013-04-17,259200,12,5,1,0.398,0.034,0.95,0.000151,0.0756,-4.292,0.109,149.972,4,0.344
6,Boku wa Hatsune Miku to Kiss wo Shita,Boku wa Hatsue Miku to Kiss wo Shita,Mikito P,2013,259200,17,5,1,0.398,0.034,0.95,0.000151,0.0756,-4.292,0.109,149.972,4,0.344
7,Right Here,Right Here,Mikito P,2020-10-20,164606,10,4,0,0.601,0.843,0.259,0.905,0.11,-17.075,0.0276,139.974,4,0.451
8,だいよげん,だいよげん,Mikito P,2020-05-17,283478,12,9,1,0.637,0.475,0.899,0.0152,0.119,-5.349,0.0297,138.004,4,0.847
9,Daiyogen,Daiyogen,Mikito P,2020-05-17,283478,10,9,1,0.637,0.475,0.899,0.0152,0.119,-5.349,0.0297,138.004,4,0.847
10,I meets You!!,I meets You!!,Mikito P,2020-04-19,220127,14,0,1,0.568,0.0925,0.949,0.0,0.238,-2.108,0.0653,157.089,4,0.519
11,I meets You!!,I meets You!!,Mikito P,2020-04-19,220127,10,0,1,0.568,0.0925,0.949,0.0,0.238,-2.108,0.0653,157.089,4,0.519
12,Sister,Sister,Mikito P,2020-02-19,332571,8,1,1,0.605,0.306,0.578,0.00962,0.365,-6.7,0.0293,140.032,4,0.259
13,Sister,Sister,Mikito P,2020-02-19,332571,6,1,1,0.605,0.306,0.578,0.00962,0.365,-6.7,0.0293,140.032,4,0.259
14,Green Shower,Green Shower,Mikito P,2019-10-01,260816,4,1,1,0.484,0.00376,0.884,0.0,0.297,-3.943,0.0515,195.956,4,0.593
15,Green Shower,Green Shower,Mikito P,2019-10-01,260816,5,1,1,0.484,0.00376,0.884,0.0,0.297,-3.943,0.0515,195.956,4,0.593
16,少女ふぜゐ -Vocaloid Ver.,少女ふぜゐ -Vocaloid Ver.,Mikito P,2019-07-03,271875,19,7,1,0.5,0.0111,0.87,0.0,0.196,-5.151,0.044,128.03,4,0.466
17,ShojoFuzei -Vocaloid Ver.,ShojoFuzei -Vocaloid Ver.,Mikito P,2019-07-03,271875,15,7,1,0.5,0.0111,0.87,0.0,0.196,-5.151,0.044,128.03,4,0.466
18,39みゅーじっく!,39みゅーじっく! (feat.初音ミク),Mikito P,2017-08-31,265846,36,11,0,0.528,0.017,0.989,0.000473,0.0964,-2.967,0.0741,130.015,4,0.525
19,39 Music!,39 Music!,Mikito P,2017,265846,50,11,0,0.528,0.017,0.989,0.000473,0.0964,-2.967,0.0741,130.015,4,0.525
