,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,おじゃま虫Ⅱ,おじゃま虫Ⅱ,DECO*27,2021-06-19,233847,37,4,1,0.673,0.0227,0.902,1.7e-05,0.152,-3.996,0.0293,142.99,4,0.973
1,アンダーカバー,アンダーカバー,DECO*27,2021-05-13,204380,34,2,1,0.542,0.00462,0.93,9.43e-06,0.308,-4.433,0.0668,92.54,4,0.697
2,セカイ,セカイ,DECO*27,2021-04-09,255686,37,8,1,0.571,0.0016,0.86,1.27e-05,0.174,-4.98,0.0403,132.991,4,0.817
3,needLe,needLe,DECO*27,2021-04-09,226408,32,1,0,0.524,0.00025,0.956,8.86e-06,0.168,-4.152,0.0579,95.063,4,0.848
4,ヴァンパイア,ヴァンパイア,DECO*27,2021-03-09,178235,62,1,0,0.555,0.0096,0.955,0.0,0.329,-4.073,0.048,164.028,4,0.955
5,ハートインパルス,ハートインパルス,FUZI,2020-12-19,198677,21,9,1,0.395,0.00054,0.977,0.000439,0.339,-4.522,0.2,200.138,4,0.598
6,ネオネオン,ネオネオン,DECO*27,2020-11-27,185957,27,6,1,0.737,0.0886,0.704,0.000124,0.114,-5.16,0.0353,129.98,4,0.762
7,アンデッドアリス,アンデッドアリス,DECO*27,2020-10-30,209952,27,8,1,0.545,0.0111,0.948,0.0,0.135,-3.653,0.0694,175.965,4,0.855
8,ポジティブ・パレード,ポジティブ・パレード,DECO*27,2020-02-26,183373,38,5,1,0.507,0.0164,0.883,2.37e-05,0.116,-3.958,0.0871,155.111,4,0.85
9,ネガティブ進化論,ネガティブ進化論,DECO*27,2019,191357,30,3,0,0.65,0.0227,0.948,1.59e-06,0.334,-3.349,0.079,139.977,4,0.901
10,39,39,sasakure.UK,2018-08-23,219979,32,6,1,0.489,0.0144,0.818,0.0,0.044,-3.723,0.0354,175.069,4,0.856
11,ゆめゆめ,ゆめゆめ,DECO*27,2012-04-18,220520,11,5,1,0.582,0.0321,0.889,0.0,0.39,-3.334,0.0318,160.025,4,0.698
12,ライトラグ,ライトラグ,DECO*27,2011-07-27,209813,8,10,1,0.477,0.0518,0.934,0.00314,0.147,-3.477,0.0604,179.965,4,0.727
13,砂時計,ライトラグ,DECO*27,2011-07-27,192173,3,5,1,0.568,0.0142,0.673,2.71e-05,0.195,-2.72,0.0351,102.036,4,0.578
14,ペダルハート,ライトラグ,DECO*27,2011-07-27,236571,2,4,1,0.502,0.0157,0.807,0.0,0.17,-4.08,0.0321,139.994,4,0.581
