Column1,artist_name,track_id,track_name
0,Kanaira,7BU5WMDf3OL69FrkRBdTya,ヒトリユラリ
1,Kanaira,1CQ2OTb1x5M3UyCwbGHnXD,EYE
2,Kanaira,7vgV4fH2MbMH9rrcfkCOIz,MIRA
3,Kanaira,7rPKtXBW35rSQH1i6QAvyk,ENVY BABY
4,Kanaira,02vOyaNCKGX8uhjggOIH83,エンヴィーベイビー
5,Kanaira,2TAA9e8dXBST241xlKBKYO,ヒトリユラリ - MARETU REMIX
6,Kanaira,5lojBXokpBOfuTDly9Bksx,KING
7,Kanaira,5FRNHJQp1NkCX9PwCkGqd9,百鬼祭
8,ピノキオピー,5jIVIIZhffcaezvrNIFocX,ラヴィット
9,ピノキオピー,72hdS3iPYFo00AjgzThXU2,Loveit
10,ピノキオピー,4cAqmtzdIXnuh8ytxrZZik,愛されなくても君がいる
11,ピノキオピー,03TzER3qI6rcOjWQb6FMTt,Because You're Here
12,ピノキオピー,6ew2fyKNLCyl6fvigOYqIT,五臓六腑 -Opening- Live from 五臓六腑 Tour 2019 at Tokyo
13,ピノキオピー,0uCgH3145GlNgPXoqRVyDQ,GOZOU-ROPPU -Opening- Live from Gozou-Roppu Tour 2019 at Tokyo
14,ピノキオピー,1XxTDehNakndUguLbuZuZP,Onion+
15,ピノキオピー,76dfZ3SSdsadtIaAWPfcUd,玉葱+
16,ピノキオピー,2Xp1Bp2N5ikzCr8krqro9z,ぼくらはみんな意味不明
17,ピノキオピー,4gHBIsnHqHyXerbTwnsObs,Nobody Makes Sense
18,ピノキオピー,0Q4dHIghx1WMyVFvgtxC9G,増殖する今村
19,ピノキオピー,1qtMZTctqKJ54dBvGws5o4,Floating Shelter
20,ピノキオピー,0bkpFDu8j021nkGENhnjGu,ニッポンの夜明け
21,ピノキオピー,3Gsfo1r1Lg4RpTXdSZI7aA,The Dawn of Japan
22,ピノキオピー,1S34O3CJDZR7ozIWf72dVD,東京マヌカン
23,ピノキオピー,28kBTYGebermEJk8AaoYEA,Tokyo Mannequin
24,ピノキオピー,3MhOjiSOspJg701Nbn7yst,しぼう
25,ピノキオピー,5YI3LorPhLd2C8m9H96n39,SHI-BOU
26,ピノキオピー,5uKDhqanJGRS0MxP95OUIJ,elf
27,ピノキオピー,6Cxzd8UyB28Grofsy17tfF,ありふれたせかいせいふく feat.初音ミク
28,ピノキオピー,1A0k6cjkrCxH3Hx7Awb2G2,Common World Domination
29,ピノキオピー,75CK9cVGOjcYv1EQIrdYWw,ぼくとわたしと少年少女
30,ピノキオピー,1MHZTDZWLzXUSIICvATqiU,あかんぼ
31,ピノキオピー,5ALRT96oaGuX7VHySBLbQu,神っぽいな
32,ピノキオピー,206UWNKXURTnN4zf9vmXUV,God-ish
33,ピノキオピー,5blgKDJ31u2C27jOcya3k9,ノンブレス・オブリージュ
34,ピノキオピー,5LAec0974S9ZJ4WmNbgRyv,Non-breath oblige
35,ピノキオピー,3LwvhfpgLdWazQYafa7Hgx,リアルにぶっとばす
36,ピノキオピー,47npt2SJCMb8oBhQPRJ03S,KICK-ASS *LITERALLY
37,ピノキオピー,5Lsdr0kU6beWlXns5yRzfT,アルティメットセンパイ
38,ピノキオピー,7xJpjQiwjmkUnI4RfJaKKA,Ultimate Senpai
39,ピノキオピー,7qSVfUEcl5kss37l82WFR5,シークレットひみつ
40,ピノキオピー,2MTSMQeKXM7ALhVbqhaAQV,Secret HIMITSU
41,ピノキオピー,5FfeACKKpcA97rdPUMSsiC,恋の恋による恋のための恋
42,ピノキオピー,5xI0vHcSK8LbiAWRTMiPaF,Love of Love by Love for Love
43,ピノキオピー,322a8OKJJEV5z5B5CeeopR,フランケンX - 煮ル果実×はるまきごはん
44,ピノキオピー,0HXF53eMwo6c447AMXHNyv,Franken X - NILFRUITS×HarumakiGohan
45,ピノキオピー,5DleLwnXjO8IewChZCkfKM,Goodbyes
46,ピノキオピー,5kIJ8CygeL9Pvrnnms4uAm,VILLAIN - TYPE A - Inst
47,ピノキオピー,0389acA9tXT1H9NsFGy2H4,Towa no Kizuna
48,ピノキオピー,4H60Q9asWMDDmrGAqKwk1m,その群青が愛しかったようだった
49,ピノキオピー,6bsyhnJVzufAXHdPNd8nEc,Sonogunjyogaitoshikattayoudatta
50,ピノキオピー,4HzYTgDjiox7jqUDbyqyKI,Yuudachi No Ribbon
51,ピノキオピー,349yaDtmQJqtVRxeDuU4nj,Noushou Sakuretsu Girl
52,ピノキオピー,4MIZk82F1SbtbazraqGU3P,Risky Game
53,ピノキオピー,4qkGMo6bzCrva5p57zPVqB,Go! Shichi! Go!
54,ピノキオピー,2UKfp1D6OSw0VqPlrc03Uc,Inori
55,ピノキオピー,1NVeZUA3VG5DA7mCytSMI6,カゲロウデイズ -初音ミク「マジカルミライ 2014」Live-
56,ピノキオピー,2tLW8Mh0fLfLxkxA6X4OBP,Waltz of Knives
58,ピノキオピー,2er4Xsi8iZndpaQfFv5uwT,Sekishinsei: Kamatoto Araryouji
59,ピノキオピー,0iC0K1CyGivvOjd18ROAPz,Tokyo Pleasure Ground -Prologue-
